player_id,player_name,bowling_style,innings_bowled,total_overs,total_balls,total_runs,economy,wickets
8345.0,Irfan Fazil,right-arm fast-medium,1,6.0,36.0,46.0,7.666666666666667,1.0
11399.0,Irfan Pathan,left-arm medium-fast,2,973.1,5855.0,5142.0,5.284143459048402,66.0
76559.0,Irfan Sajid,legbreak,1,5.0,30.0,23.0,4.6,1.0
21440.0,Irving Romaine,right-arm offbreak,2,53.8,326.0,355.0,6.598513011152416,31.0
67586.0,Ish Sodhi,legbreak,2,406.3,2443.0,2251.0,5.540241201082943,20.0
49327.0,Ishant Sharma,right-arm fast-medium,2,620.9,3733.0,3563.0,5.738444193912064,15.0
9586.0,Ishara Amerasinghe,right-arm fast-medium,2,71.0,426.0,363.0,5.112676056338028,0.0
84761.0,Ishtiaq Muhammad,right-arm offbreak,1,3.0,18.0,24.0,8.0,0.0
36508.0,Ishwar Maraj,right-arm offbreak,1,4.3,27.0,22.0,5.116279069767442,5.0
76525.0,Ishwarjot Sohi,right-arm medium-fast,2,15.0,90.0,78.0,5.2,1.0
54460.0,Isuru Udana,left-arm medium-fast,2,151.3,909.0,950.0,6.278916060806345,14.0
59775.0,Izatullah Dawlatzai,right-arm fast-medium,2,35.0,210.0,146.0,4.171428571428572,2.0
67403.0,JJ Smit,left-arm medium-fast,2,183.6,1104.0,777.0,4.23202614379085,25.0
51232.0,JJ Smuts,slow left-arm orthodox,2,30.0,180.0,164.0,5.466666666666667,4.0
111925.0,Jack	Brassell,right-arm medium,2,12.0,72.0,53.0,4.416666666666667,1.0
110235.0,Jack Jarvis,right-arm medium-fast,2,10.0,60.0,71.0,7.1,3.0
67190.0,Jacob Duffy,right-arm fast-medium,2,47.4,286.0,321.0,6.772151898734178,1.0
91757.0,Jacob Mulder,legbreak,2,31.0,186.0,155.0,5.0,0.0
9989.0,Jacob Oram,right-arm fast-medium,2,1148.7,6911.0,5047.0,4.393662400975015,101.0
5682.0,Jacob-Jan Esmeijer,slow left-arm orthodox,2,38.0,228.0,208.0,5.473684210526316,4.0
48705.0,Jacobi Robinson,right-arm fast-medium,2,23.0,138.0,170.0,7.391304347826087,2.0
2232.0,Jacques Kallis,right-arm fast-medium,2,1788.6,10750.0,8680.0,4.852957620485296,262.0
9630.0,Jacques Rudolph,legbreak googly,1,4.0,24.0,26.0,6.5,33.0
46924.0,Jade Dernbach,right-arm fast-medium,2,204.6,1234.0,1308.0,6.392961876832845,7.0
1962.0,Jahangir Alam Talukdar,left-arm medium,1,7.0,42.0,36.0,5.142857142857143,0.0
1834.0,Jahangir Shah,right-arm fast-medium,2,39.0,234.0,172.0,4.410256410256411,2.0
7281.0,Jai Prakash Yadav,right-arm medium,2,66.0,396.0,326.0,4.9393939393939394,4.0
60218.0,Jake Ball,right-arm fast-medium,2,157.5,947.0,980.0,6.222222222222222,4.0
1690.0,Jalal-ud-Din,right-arm fast-medium,2,51.0,306.0,211.0,4.137254901960785,2.0
35523.0,Jamaluddin Ahmed,right-arm offbreak,1,4.0,24.0,28.0,7.0,0.0
10829.0,James Anderson,right-arm fast-medium,2,1594.0,9584.0,7861.0,4.931618569636136,36.0
4224.0,James Brinkley,right-arm fast-medium,2,28.0,168.0,117.0,4.178571428571429,5.0
58595.0,James Cameron-Dow,slow left-arm orthodox,1,31.0,186.0,151.0,4.870967741935484,0.0
50483.0,James Faulkner,left-arm fast-medium,2,533.1,3211.0,2962.0,5.556180829112736,30.0
9639.0,James Franklin,left-arm medium,2,640.8,3848.0,3354.0,5.234082397003745,53.0
9235.0,James Hopes,right-arm medium,2,525.7,3157.0,2384.0,4.534905839832604,53.0
6263.0,James Kirtley,right-arm fast-medium,2,91.3,549.0,481.0,5.268346111719606,2.0
57196.0,James Neesham,right-arm medium-fast,2,406.0,2448.0,2556.0,6.295566502463054,53.0
53238.0,James Ngoche,right-arm offbreak,2,145.8,878.0,569.0,3.902606310013717,7.0
50781.0,James Pattinson,right-arm fast-medium,2,121.1,727.0,681.0,5.623451692815855,4.0
10831.0,James Tredwell,right-arm offbreak,2,350.4,2104.0,1666.0,4.754566210045662,14.0
52122.0,James Vince,right-arm medium,2,7.0,42.0,38.0,5.428571428571429,22.0
10647.0,Jamie Dalrymple,right-arm offbreak,2,140.0,840.0,666.0,4.757142857142857,25.0
63683.0,Jan Frylinck,left-arm fast-medium,2,203.8,1226.0,888.0,4.357212953876349,22.0
95708.0,Jan Nicol Loftie-Eaton,right-arm medium,2,76.1,461.0,375.0,4.92772667542707,28.0
52282.0,Jan Stander,right-arm medium-fast,2,25.0,150.0,166.0,6.64,4.0
10365.0,Jan-Berrie Burger,legbreak,1,16.0,96.0,104.0,6.5,6.0
88439.0,Jan-Izak de Villiers,right-arm medium,1,9.3,57.0,66.0,7.096774193548386,1.0
2196.0,Janak Gamage,right-arm fast-medium,2,22.0,132.0,104.0,4.727272727272728,0.0
5430.0,Janeiro Tucker,right-arm medium,2,136.3,819.0,701.0,5.143066764490095,25.0
72825.0,Janith Liyanage,right-arm fast-medium,2,21.2,128.0,129.0,6.084905660377359,5.0
61314.0,Jaskaran Malhotra,legbreak googly,2,17.0,102.0,67.0,3.941176470588236,14.0
50789.0,Jason Behrendorff,left-arm fast-medium,2,107.3,645.0,568.0,5.293569431500466,3.0
2286.0,Jason Gillespie,right-arm fast,2,856.4,5144.0,3611.0,4.216487622606259,23.0
59339.0,Jason Holder,right-arm medium-fast,2,1065.0,6402.0,5878.0,5.51924882629108,90.0
52600.0,Jason Kila,slow left-arm orthodox,2,38.1,229.0,200.0,5.2493438320209975,10.0
36367.0,Jason Krejza,right-arm offbreak,2,70.5,425.0,331.0,4.695035460992908,1.0
49030.0,Jason Mohammed,right-arm offbreak,2,73.2,440.0,340.0,4.644808743169398,29.0
48081.0,Jason Patraj,right-arm offbreak,1,15.0,90.0,76.0,5.066666666666666,2.0
70640.0,Jasprit Bumrah,right-arm fast,2,761.2,4580.0,3509.0,4.609826589595375,12.0
53016.0,Jatinder Singh,right-arm offbreak,2,7.0,42.0,37.0,5.285714285714286,44.0
1997.0,Javagal Srinath,right-arm fast-medium,2,1983.1,11935.0,8847.0,4.461197115627049,83.0
53112.0,Javed Ahmadi,right-arm offbreak,2,74.8,452.0,363.0,4.852941176470589,44.0
1504.0,Javed Miandad,legbreak googly,2,64.0,436.0,297.0,4.640625,178.0
101893.0,Jay Odedra,right-arm offbreak,2,58.0,348.0,258.0,4.448275862068965,2.0
1803.0,Jayananda Warnaweera,right-arm medium,2,49.0,294.0,200.0,4.081632653061225,0.0
62051.0,Jayant Yadav,right-arm offbreak,2,14.0,84.0,61.0,4.357142857142857,1.0
2233.0,Jayantha Silva,slow left-arm orthodox,1,8.0,48.0,55.0,6.875,0.0
106326.0,Jayden Seales,right-arm fast-medium,2,72.7,439.0,445.0,6.121045392022008,3.0
59261.0,Jaydev Unadkat,left-arm medium,2,57.0,342.0,225.0,3.947368421052632,0.0
45222.0,Jean-Paul Duminy,right-arm offbreak,2,579.7,3489.0,3119.0,5.380369156460238,138.0
11922.0,Jeetan Patel,right-arm offbreak,2,334.2,2014.0,1691.0,5.059844404548175,7.0
24777.0,Jeevan Mendis,legbreak,2,233.6,1404.0,1204.0,5.154109589041096,34.0
1698.0,Jeff Crowe,right-arm bowler,1,1.0,6.0,1.0,1.0,59.0
1411.0,Jeff Hammond,right-arm fast-medium,1,9.0,54.0,41.0,4.555555555555555,0.0
1401.0,Jeff Thomson,right-arm fast,2,446.2,2696.0,1942.0,4.352308381891529,24.0
2128.0,Jeff Wilson,right-arm fast-medium,2,40.2,242.0,260.0,6.467661691542288,5.0
58084.0,Jeffrey Vandersay,legbreak,2,152.2,918.0,849.0,5.578186596583444,10.0
8203.0,Jehan Mubarak,right-arm offbreak,2,21.3,129.0,95.0,4.460093896713615,31.0
1421.0,Jeremy Coney,right-arm medium,2,488.3,2931.0,2039.0,4.175711652672537,61.0
51014.0,Jeremy Gordon,right-arm fast-medium,2,74.8,452.0,393.0,5.254010695187166,5.0
4660.0,Jeremy Snape,right-arm offbreak,2,87.7,529.0,403.0,4.595210946408209,4.0
61417.0,Jermaine Blackwood,right-arm offbreak,1,3.0,18.0,16.0,5.333333333333333,2.0
10227.0,Jermaine Lawson,right-arm fast-medium,2,93.0,558.0,498.0,5.354838709677419,3.0
46591.0,Jerome Taylor,right-arm fast,2,720.5,4341.0,3780.0,5.246356696738376,33.0
44946.0,Jesse Ryder,right-arm medium,2,67.1,407.0,412.0,6.140089418777944,41.0
77577.0,Jessy Singh,right-arm medium,2,178.6,1074.0,947.0,5.3023516237402015,17.0
77669.0,Jhye Richardson,right-arm fast,2,135.0,810.0,793.0,5.874074074074074,5.0
2007.0,Jimmy Adams,slow left-arm orthodox,2,308.8,1856.0,1499.0,4.854274611398964,77.0
60377.0,Jimmy Hansra,right-arm medium,2,74.1,445.0,413.0,5.573549257759785,18.0
8207.0,Jimmy Kamande,right-arm offbreak,2,434.7,2619.0,2169.0,4.989648033126295,61.0
1607.0,Jitendra Patel,slow left-arm orthodox,1,15.1,91.0,47.0,3.1125827814569536,3.0
2075.0,Jo Angel,right-arm fast,2,27.0,162.0,113.0,4.185185185185185,1.0
46925.0,Joe Denly,legbreak,2,17.0,102.0,101.0,5.941176470588236,13.0
61826.0,Joe Mennie,right-arm fast-medium,1,20.0,120.0,131.0,6.55,2.0
52656.0,Joe Root,right-arm offbreak,2,272.6,1638.0,1587.0,5.8217168011738805,137.0
1522.0,Joel Garner,right-arm fast,2,887.4,5330.0,2752.0,3.101194500788821,26.0
64796.0,Joel Paris,left-arm fast-medium,1,16.0,96.0,93.0,5.8125,0.0
2162.0,Joey Benjamin,right-arm medium-fast,2,12.0,72.0,47.0,3.9166666666666665,1.0
72379.0,Jofra Archer,right-arm fast,2,189.1,1139.0,913.0,4.828133262823902,5.0
45592.0,Joginder Sharma,right-arm fast-medium,2,25.0,150.0,115.0,4.6,1.0
10401.0,Johan Botha,right-arm offbreak,2,635.9,3823.0,2916.0,4.585626670860198,32.0
4130.0,Johan van der Wath,right-arm medium-fast,2,87.4,526.0,551.0,6.304347826086956,6.0
17857.0,Johann Louw,right-arm medium-fast,2,26.0,156.0,148.0,5.6923076923076925,1.0
2146.0,Johanne Samarasekera,right-arm medium-fast,2,49.0,294.0,236.0,4.816326530612245,4.0
46177.0,John Anderson,right-arm offbreak,2,5.0,30.0,20.0,4.0,8.0
4968.0,John Blain,right-arm fast-medium,2,220.9,1329.0,1173.0,5.310095065640561,19.0
1631.0,John Bracewell,right-arm offbreak,2,407.1,2447.0,1884.0,4.627855563743552,31.0
56803.0,John Campbell,right-arm offbreak,1,1.0,6.0,13.0,13.0,5.0
5712.0,John Davison,right-arm offbreak,2,239.1,1435.0,1067.0,4.462567963195316,30.0
1567.0,John Emburey,right-arm offbreak,2,569.3,3425.0,2346.0,4.120850166871597,35.0
49002.0,John Hastings,right-arm fast-medium,2,247.0,1486.0,1256.0,5.08502024291498,10.0
1513.0,John Lever,left-arm fast-medium,2,181.0,1152.0,713.0,3.9392265193370166,7.0
1746.0,John Maguire,right-arm fast-medium,2,168.1,1009.0,769.0,4.574657941701369,6.0
10345.0,John Mooney,right-arm medium,2,298.5,1797.0,1635.0,5.477386934673367,41.0
1420.0,John Morrison,slow left-arm orthodox,2,47.1,283.0,199.0,4.225053078556263,12.0
1472.0,John Nagenda,right-arm fast-medium,1,9.0,54.0,50.0,5.555555555555555,0.0
47767.0,John Nyumbu,right-arm offbreak,2,140.4,844.0,738.0,5.256410256410256,10.0
