matches_bat,innings_batted,runs,balls,fours,sixes,bat_avg,strike_rate,matches_bowl,innings_bowled,wickets,runs_conceded,overs,player_name
4,4,106.0,174.0,5.0,1.0,26.5,60.91954022988506,,,,,,Chris Foggo
295,295,10480.0,12019.0,1128.0,331.0,35.52542372881356,87.19527414926367,,,,,,Chris Gayle
25,25,337.0,381.0,30.0,7.0,13.48,88.4514435695538,,,,,,Chris Greaves
245,245,4379.0,6583.0,275.0,43.0,17.8734693877551,66.51982378854625,,,,,,Chris Harris
34,34,184.0,211.0,12.0,5.0,5.411764705882353,87.20379146919431,,,,,,Chris Jordan
16,16,142.0,223.0,7.0,1.0,8.875,63.67713004484305,,,,,,Chris Kuggeleijn
52,52,374.0,459.0,25.0,6.0,7.1923076923076925,81.48148148148148,,,,,,Chris Lewis
1,1,4.0,28.0,0.0,0.0,4.0,14.285714285714285,,,,,,Chris Lonsdale
4,4,75.0,89.0,5.0,3.0,18.75,84.26966292134831,,,,,,Chris Lynn
19,19,8.0,25.0,0.0,0.0,0.42105263157894735,32.0,,,,,,Chris Martin
42,42,467.0,465.0,36.0,15.0,11.119047619047619,100.43010752688173,,,,,,Chris Morris
84,84,57.0,210.0,1.0,0.0,0.6785714285714286,27.142857142857142,,,,,,Chris Mpofu
36,36,732.0,1000.0,82.0,3.0,20.333333333333332,73.2,,,,,,Chris Nevin
31,31,338.0,401.0,29.0,6.0,10.903225806451612,84.28927680798004,,,,,,Chris Old
64,64,193.0,256.0,8.0,5.0,3.015625,75.390625,,,,,,Chris Pringle
35,35,300.0,410.0,21.0,6.0,8.571428571428571,73.17073170731707,,,,,,Chris Read
7,7,17.0,34.0,1.0,0.0,2.4285714285714284,50.0,,,,,,Chris Silverwood
4,4,109.0,240.0,19.0,1.0,27.25,45.416666666666664,,,,,,Chris Smith
30,30,71.0,90.0,8.0,0.0,2.3666666666666667,78.88888888888889,,,,,,Chris Sole
29,29,720.0,1471.0,58.0,2.0,24.82758620689655,48.94629503738953,,,,,,Chris Tavaré
4,4,23.0,37.0,2.0,1.0,5.75,62.16216216216216,,,,,,Chris Tremain
15,15,50.0,89.0,2.0,2.0,3.3333333333333335,56.17977528089888,,,,,,Chris Tremlett
118,118,1524.0,1710.0,118.0,21.0,12.915254237288135,89.12280701754386,,,,,,Chris Woakes
2,2,19.0,23.0,2.0,0.0,9.5,82.6086956521739,,,,,,Christi Viljoen
2,2,31.0,33.0,5.0,1.0,15.5,93.93939393939394,,,,,,Christiaan Jonker
11,11,114.0,186.0,16.0,0.0,10.363636363636363,61.29032258064516,,,,,,Christopher Carter
3,3,38.0,143.0,2.0,0.0,12.666666666666666,26.573426573426573,,,,,,Christopher Chappell
18,18,386.0,539.0,49.0,2.0,21.444444444444443,71.61410018552876,,,,,,Christopher McBride
42,42,948.0,1638.0,67.0,2.0,22.571428571428573,57.87545787545788,,,,,,Chundangapoyil Rizwan
4,4,0.0,0.0,0.0,0.0,0.0,,,,,,,Claude Henderson
12,12,192.0,245.0,28.0,5.0,16.0,78.36734693877551,,,,,,Clay Smith
9,9,13.0,17.0,2.0,0.0,1.4444444444444444,76.47058823529412,,,,,,Clayton Floyd
12,12,407.0,540.0,45.0,7.0,33.916666666666664,75.37037037037037,,,,,,Clayton Lambert
58,58,190.0,337.0,15.0,2.0,3.2758620689655173,56.37982195845698,,,,,,Clint McKay
6,6,6.0,25.0,0.0,0.0,1.0,24.0,,,,,,Clive Eksteen
86,86,1977.0,2434.0,160.0,30.0,22.988372093023255,81.22432210353327,,,,,,Clive Lloyd
15,15,231.0,312.0,23.0,0.0,15.4,74.03846153846155,,,,,,Clive Madande
4,4,250.0,367.0,25.0,0.0,62.5,68.11989100817438,,,,,,Clive Radley
3,3,26.0,37.0,1.0,1.0,8.666666666666666,70.27027027027027,,,,,,Clive Rice
6,6,126.0,127.0,11.0,3.0,21.0,99.21259842519686,,,,,,Cole McConchie
16,16,427.0,543.0,45.0,2.0,26.6875,78.63720073664825,,,,,,Colin Ackermann
1,1,1.0,5.0,0.0,0.0,1.0,20.0,,,,,,Colin Cowdrey
19,19,18.0,38.0,1.0,0.0,0.9473684210526315,47.368421052631575,,,,,,Colin Croft
31,31,843.0,1024.0,82.0,10.0,27.193548387096776,82.32421875,,,,,,Colin Ingram
57,57,1271.0,1214.0,138.0,36.0,22.29824561403509,104.69522240527182,,,,,,Colin Munro
27,27,432.0,640.0,49.0,3.0,16.0,67.5,,,,,,Colin Smith
5,5,3.0,13.0,0.0,0.0,0.6,23.076923076923077,,,,,,Colin Stuart
