Match ID,Match Date,Series Name,team1 name,team1 runs_scored,team1 wickets_lost,Match Winner,Match Venue (Stadium),Match Venue (City),Match Venue (Country),team2 name, Team2 runs_scored,Team2 wickets_lost
66342,2002-08-21,"Morocco Cup Pakistan, South Africa, Sri Lanka - 2002 (2002)",Sri Lanka,235.0,7.0,Sri Lanka,National Cricket Stadium,Tangier,Morocco,,,
66343,2002-08-29,"PSO Tri-Nation Tournament Australia, Kenya, Pakistan in Kenya - 2002 (2002)",Kenya,133.0,10.0,Pakistan,Gymkhana Club Ground,Nairobi,Kenya,,,
66344,2002-08-30,"PSO Tri-Nation Tournament Australia, Kenya, Pakistan in Kenya - 2002 (2002)",Australia,332.0,5.0,Australia,Gymkhana Club Ground,Nairobi,Kenya,,,
66345,2002-09-01,"PSO Tri-Nation Tournament Australia, Kenya, Pakistan in Kenya - 2002 (2002)",Kenya,179.0,10.0,Pakistan,Gymkhana Club Ground,Nairobi,Kenya,,,
66346,2002-09-02,"PSO Tri-Nation Tournament Australia, Kenya, Pakistan in Kenya - 2002 (2002)",Kenya,84.0,10.0,Australia,Gymkhana Club Ground,Nairobi,Kenya,,,
66347,2002-09-04,"PSO Tri-Nation Tournament Australia, Kenya, Pakistan in Kenya - 2002 (2002)",Pakistan,117.0,10.0,Australia,Gymkhana Club Ground,Nairobi,Kenya,,,
66348,2002-09-05,"PSO Tri-Nation Tournament Australia, Kenya, Pakistan in Kenya - 2002 (2002)",Kenya,204.0,9.0,Australia,Gymkhana Club Ground,Nairobi,Kenya,,,
66349,2002-09-07,"PSO Tri-Nation Tournament Australia, Kenya, Pakistan in Kenya - 2002 (2002)",Pakistan,227.0,10.0,,Gymkhana Club Ground,Nairobi,Kenya,,,
66180,2002-09-12,ICC Champions Trophy in Sri Lanka - 2002 (2002/03),Pakistan,200.0,10.0,Sri Lanka,R Premadasa Stadium,Colombo,Sri Lanka,,,
66181,2002-09-13,ICC Champions Trophy in Sri Lanka - 2002 (2002/03),West Indies,238.0,8.0,South Africa,Sinhalese Sports Club Ground,Colombo,Sri Lanka,,,
66182,2002-09-14,ICC Champions Trophy in Sri Lanka - 2002 (2002/03),India,288.0,6.0,India,R Premadasa Stadium,Colombo,Sri Lanka,,,
66183,2002-09-15,ICC Champions Trophy in Sri Lanka - 2002 (2002/03),Australia,296.0,7.0,Australia,Sinhalese Sports Club Ground,Colombo,Sri Lanka,,,
66184,2002-09-16,ICC Champions Trophy in Sri Lanka - 2002 (2002/03),Sri Lanka,292.0,6.0,Sri Lanka,R Premadasa Stadium,Colombo,Sri Lanka,,,
66185,2002-09-17,ICC Champions Trophy in Sri Lanka - 2002 (2002/03),West Indies,261.0,6.0,West Indies,Sinhalese Sports Club Ground,Colombo,Sri Lanka,,,
66186,2002-09-18,ICC Champions Trophy in Sri Lanka - 2002 (2002/03),England,298.0,8.0,England,R Premadasa Stadium,Colombo,Sri Lanka,,,
66187,2002-09-19,ICC Champions Trophy in Sri Lanka - 2002 (2002/03),Bangladesh,129.0,10.0,Australia,Sinhalese Sports Club Ground,Colombo,Sri Lanka,,,
66188,2002-09-20,ICC Champions Trophy in Sri Lanka - 2002 (2002/03),South Africa,316.0,5.0,South Africa,R Premadasa Stadium,Colombo,Sri Lanka,,,
66189,2002-09-21,ICC Champions Trophy in Sri Lanka - 2002 (2002/03),Netherlands,136.0,10.0,Pakistan,Sinhalese Sports Club Ground,Colombo,Sri Lanka,,,
66190,2002-09-22,ICC Champions Trophy in Sri Lanka - 2002 (2002/03),England,269.0,7.0,India,R Premadasa Stadium,Colombo,Sri Lanka,,,
66191,2002-09-23,ICC Champions Trophy in Sri Lanka - 2002 (2002/03),New Zealand,244.0,9.0,New Zealand,Sinhalese Sports Club Ground,Colombo,Sri Lanka,,,
66192,2002-09-25,ICC Champions Trophy in Sri Lanka - 2002 (2002/03),India,261.0,9.0,India,R Premadasa Stadium,Colombo,Sri Lanka,,,
66193,2002-09-27,ICC Champions Trophy in Sri Lanka - 2002 (2002/03),Australia,162.0,10.0,Sri Lanka,R Premadasa Stadium,Colombo,Sri Lanka,,,
66194,2002-09-29,ICC Champions Trophy in Sri Lanka - 2002 (2002/03),Sri Lanka,244.0,5.0,,R Premadasa Stadium,Colombo,Sri Lanka,,,
66195,2002-09-30,ICC Champions Trophy in Sri Lanka - 2002 (2002/03),Sri Lanka,222.0,7.0,,R Premadasa Stadium,Colombo,Sri Lanka,,,
64782,2002-10-03,Bangladesh tour of South Africa  - 2002 (2002/03),South Africa,301.0,8.0,South Africa,North West Cricket Stadium,Potchefstroom,South Africa,,,
64783,2002-10-06,Bangladesh tour of South Africa  - 2002 (2002/03),Bangladesh,154.0,9.0,South Africa,Willowmoore Park,Benoni,South Africa,,,
64784,2002-10-09,Bangladesh tour of South Africa  - 2002 (2002/03),Bangladesh,151.0,10.0,South Africa,De Beers Diamond Oval,Kimberley,South Africa,,,
64785,2002-11-06,West Indies tour of India  - 2002 (2002/03),India,283.0,6.0,West Indies,Keenan Stadium,Jamshedpur,India,,,
64786,2002-11-09,West Indies tour of India  - 2002 (2002/03),India,279.0,9.0,West Indies,Vidarbha Cricket Association Ground,Nagpur,India,,,
